ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,SUM,Num Reference Summaries
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.5751,0.61905,0.59626,1.83436,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.40606,0.43421,0.41966,1.28808,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.21446,0.21105,0.21274,0.63484,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.34986,0.60674,0.44381,1.65729,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.47296,0.5641,0.51453,1.64273,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.34383,0.61961,0.44225,1.68147,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.44684,0.44586,0.44635,1.33807,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.25959,0.43643,0.32554,1.1984,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.39524,0.45499,0.42302,1.333,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.44821,0.62202,0.521,1.76504,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.35882,0.6087,0.45149,1.66889,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.39525,0.57862,0.46967,1.62691,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.4805,0.46421,0.47221,1.40063,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.39873,0.51515,0.44952,1.47982,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.49441,0.61828,0.54945,1.78601,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.33551,0.33538,0.33545,1.00621,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.57762,0.65297,0.61299,1.91893,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.46825,0.52758,0.49614,1.5513,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.28046,0.37432,0.32066,1.0693,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.17896,0.38288,0.24392,1.00968,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.41801,0.56812,0.48164,1.61788,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.37987,0.38554,0.38268,1.15376,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.45334,0.58398,0.51043,1.67839,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.46177,0.57407,0.51184,1.65998,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.51534,0.53691,0.52591,1.59973,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.42837,0.5698,0.48906,1.62866,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.48487,0.40526,0.44151,1.25203,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.44216,0.62385,0.51752,1.76522,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.31427,0.38272,0.34513,1.11057,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.22761,0.38488,0.28605,1.05581,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.37334,0.36364,0.36843,1.09571,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.3441,0.47198,0.39802,1.34198,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.48798,0.59788,0.53737,1.73313,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.3464,0.5963,0.43822,1.63082,3
