ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,SUM,Num Reference Summaries
ROUGE-1,#北京电影学院性侵案#,RANDOM,0.25433,0.35171,0.29519,0.99861,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.5751,0.61905,0.59626,1.83436,3
ROUGE-1,#北京电影学院性侵案#,RANDOM,0.20489,0.22148,0.21286,0.65582,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.40606,0.43421,0.41966,1.28808,3
ROUGE-1,#北京电影学院性侵案#,RANDOM,0.26212,0.31579,0.28646,0.91804,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.21446,0.21105,0.21274,0.63484,3
ROUGE-1,#北京电影学院性侵案#,RANDOM,0.16915,0.27723,0.2101,0.76456,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.34986,0.60674,0.44381,1.65729,3
ROUGE-1,#北京电影学院性侵案#,RANDOM,0.22771,0.2007,0.21335,0.61475,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.47296,0.5641,0.51453,1.64273,3
ROUGE-1,#北京电影学院性侵案#,RANDOM,0.22282,0.28205,0.24896,0.81306,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.34383,0.61961,0.44225,1.68147,3
ROUGE-1,#北京电影学院性侵案#,RANDOM,0.25868,0.33333,0.2913,0.95796,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.44684,0.44586,0.44635,1.33807,3
ROUGE-1,#北京电影学院性侵案#,RANDOM,0.19196,0.27536,0.22622,0.77694,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.25959,0.43643,0.32554,1.1984,3
ROUGE-1,#北京电影学院性侵案#,RANDOM,0.17223,0.27667,0.2123,0.76564,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.39524,0.45499,0.42302,1.333,3
ROUGE-1,#北京电影学院性侵案#,RANDOM,0.28817,0.35813,0.31936,1.03562,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.44821,0.62202,0.521,1.76504,3
ROUGE-1,#北京电影学院性侵案#,RANDOM,0.23123,0.35278,0.27935,0.98491,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.35882,0.6087,0.45149,1.66889,3
ROUGE-1,#北京电影学院性侵案#,RANDOM,0.17675,0.24501,0.20536,0.69538,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.39525,0.57862,0.46967,1.62691,3
ROUGE-1,#北京电影学院性侵案#,RANDOM,0.22881,0.2216,0.22515,0.66835,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.4805,0.46421,0.47221,1.40063,3
ROUGE-1,#北京电影学院性侵案#,RANDOM,0.20334,0.27822,0.23495,0.79139,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.39873,0.51515,0.44952,1.47982,3
ROUGE-1,#北京电影学院性侵案#,RANDOM,0.15226,0.27899,0.197,0.75498,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.49441,0.61828,0.54945,1.78601,3
ROUGE-1,#北京电影学院性侵案#,RANDOM,0.22638,0.22976,0.22806,0.68758,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.33551,0.33538,0.33545,1.00621,3
ROUGE-1,#北京电影学院性侵案#,RANDOM,0.23511,0.22727,0.23113,0.68567,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.57762,0.65297,0.61299,1.91893,3
ROUGE-1,#北京电影学院性侵案#,RANDOM,0.23659,0.23204,0.23429,0.69837,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.46825,0.52758,0.49614,1.5513,3
ROUGE-1,#北京电影学院性侵案#,RANDOM,0.27418,0.2449,0.25871,0.74851,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.28046,0.37432,0.32066,1.0693,3
ROUGE-1,#北京电影学院性侵案#,RANDOM,0.17698,0.26844,0.21332,0.7502,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.17896,0.38288,0.24392,1.00968,3
ROUGE-1,#北京电影学院性侵案#,RANDOM,0.19354,0.29091,0.23244,0.81426,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.41801,0.56812,0.48164,1.61788,3
ROUGE-1,#北京电影学院性侵案#,RANDOM,0.24733,0.32134,0.27952,0.9222,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.37987,0.38554,0.38268,1.15376,3
ROUGE-1,#北京电影学院性侵案#,RANDOM,0.2232,0.33939,0.2693,0.94808,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.45334,0.58398,0.51043,1.67839,3
ROUGE-1,#北京电影学院性侵案#,RANDOM,0.24577,0.2228,0.23372,0.67932,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.46177,0.57407,0.51184,1.65998,3
ROUGE-1,#北京电影学院性侵案#,RANDOM,0.22135,0.27949,0.24704,0.80602,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.51534,0.53691,0.52591,1.59973,3
ROUGE-1,#北京电影学院性侵案#,RANDOM,0.17539,0.29825,0.22089,0.81739,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.42837,0.5698,0.48906,1.62866,3
ROUGE-1,#北京电影学院性侵案#,RANDOM,0.14828,0.21914,0.17688,0.61516,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.48487,0.40526,0.44151,1.25203,3
ROUGE-1,#北京电影学院性侵案#,RANDOM,0.13498,0.27426,0.18092,0.72944,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.44216,0.62385,0.51752,1.76522,3
ROUGE-1,#北京电影学院性侵案#,RANDOM,0.21184,0.27733,0.2402,0.79486,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.31427,0.38272,0.34513,1.11057,3
ROUGE-1,#北京电影学院性侵案#,RANDOM,0.19383,0.35439,0.2506,0.95938,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.22761,0.38488,0.28605,1.05581,3
ROUGE-1,#北京电影学院性侵案#,RANDOM,0.20681,0.35354,0.26097,0.96805,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.37334,0.36364,0.36843,1.09571,3
ROUGE-1,#北京电影学院性侵案#,RANDOM,0.22318,0.22868,0.2259,0.68326,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.3441,0.47198,0.39802,1.34198,3
ROUGE-1,#北京电影学院性侵案#,RANDOM,0.19642,0.22685,0.21054,0.66424,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.48798,0.59788,0.53737,1.73313,3
ROUGE-1,#北京电影学院性侵案#,RANDOM,0.22362,0.25587,0.23866,0.7504,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.3464,0.5963,0.43822,1.63082,3
ROUGE-1,#北京电影学院性侵案#,RANDOM,0.22164,0.45055,0.29712,1.19822,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.47745,0.47154,0.47448,1.41756,3
ROUGE-1,#北京电影学院性侵案#,RANDOM,0.21913,0.25503,0.23572,0.74578,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.44814,0.58933,0.50913,1.68779,3
ROUGE-1,#北京电影学院性侵案#,RANDOM,0.21041,0.26455,0.23439,0.76349,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.18472,0.38462,0.24957,1.01881,3
ROUGE-1,#北京电影学院性侵案#,RANDOM,0.24473,0.29978,0.26947,0.86903,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.19833,0.38095,0.26086,1.02276,3
ROUGE-1,#北京电影学院性侵案#,RANDOM,0.17286,0.21678,0.19235,0.62591,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.46273,0.47527,0.46891,1.41945,3
ROUGE-1,#北京电影学院性侵案#,RANDOM,0.17697,0.28667,0.21884,0.79218,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.35308,0.35185,0.35246,1.05616,3
ROUGE-1,#北京电影学院性侵案#,RANDOM,0.24804,0.30839,0.27494,0.89172,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.42776,0.46991,0.44784,1.38766,3
ROUGE-1,#北京电影学院性侵案#,RANDOM,0.30625,0.33954,0.32204,1.00112,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.38112,0.58497,0.46154,1.63148,3
ROUGE-1,#北京电影学院性侵案#,RANDOM,0.39514,0.4504,0.42097,1.32177,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.28016,0.2768,0.27847,0.83207,3
ROUGE-1,#北京电影学院性侵案#,RANDOM,0.21633,0.24262,0.22872,0.71396,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.19211,0.54386,0.28392,1.37164,3
ROUGE-1,#北京电影学院性侵案#,RANDOM,0.32411,0.42793,0.36885,1.22471,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.39591,0.51913,0.44922,1.48748,3
ROUGE-1,#北京电影学院性侵案#,RANDOM,0.29584,0.42172,0.34774,1.19118,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.39045,0.39869,0.39453,1.19191,3
ROUGE-1,#北京电影学院性侵案#,RANDOM,0.25721,0.28875,0.27207,0.84957,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.42292,0.48201,0.45054,1.41456,3
ROUGE-1,#北京电影学院性侵案#,RANDOM,0.28484,0.36735,0.32088,1.05558,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.35491,0.58163,0.44083,1.60409,3
ROUGE-1,#北京电影学院性侵案#,RANDOM,0.28409,0.28249,0.28329,0.84827,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.34106,0.62353,0.44094,1.688,3
ROUGE-1,#北京电影学院性侵案#,RANDOM,0.17496,0.29043,0.21837,0.79923,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.38257,0.68182,0.49013,1.85377,3
ROUGE-1,#北京电影学院性侵案#,RANDOM,0.22926,0.41219,0.29464,1.11902,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.23015,0.40071,0.29238,1.0938,3
ROUGE-1,#北京电影学院性侵案#,RANDOM,0.20668,0.28333,0.23901,0.80567,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.4432,0.40952,0.42569,1.24473,3
ROUGE-1,#北京电影学院性侵案#,RANDOM,0.1548,0.29365,0.20273,0.79003,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.26794,0.36389,0.30863,1.03641,3
ROUGE-1,#北京电影学院性侵案#,RANDOM,0.15871,0.22523,0.18621,0.63667,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.44389,0.50235,0.47131,1.47601,3
ROUGE-1,#北京电影学院性侵案#,RANDOM,0.18859,0.19956,0.19392,0.59304,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.32932,0.5969,0.42446,1.61826,3
ROUGE-1,#北京电影学院性侵案#,RANDOM,0.16381,0.27599,0.20559,0.75757,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.49513,0.52667,0.51041,1.56375,3
ROUGE-1,#北京电影学院性侵案#,RANDOM,0.18047,0.33688,0.23503,0.90879,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.3632,0.49003,0.41718,1.39724,3
ROUGE-1,#北京电影学院性侵案#,RANDOM,0.19401,0.19076,0.19238,0.5739,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.33414,0.63374,0.43758,1.70506,3
ROUGE-1,#北京电影学院性侵案#,RANDOM,0.22497,0.37427,0.28102,1.02956,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.48325,0.40378,0.43996,1.24752,3
ROUGE-1,#北京电影学院性侵案#,RANDOM,0.1509,0.23899,0.185,0.66298,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.27462,0.62255,0.38112,1.62622,3
ROUGE-1,#北京电影学院性侵案#,RANDOM,0.15964,0.35111,0.21949,0.92171,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.17968,0.31159,0.22792,0.8511,3
ROUGE-1,#北京电影学院性侵案#,RANDOM,0.22348,0.23353,0.2284,0.69546,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.47519,0.48172,0.47843,1.44187,3
ROUGE-1,#北京电影学院性侵案#,RANDOM,0.19156,0.34091,0.24529,0.92711,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.35508,0.38667,0.3702,1.14354,3
ROUGE-1,#北京电影学院性侵案#,RANDOM,0.23336,0.23062,0.23198,0.69322,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.44664,0.56716,0.49974,1.63406,3
ROUGE-1,#北京电影学院性侵案#,RANDOM,0.32486,0.44928,0.37707,1.27563,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.53843,0.55338,0.5458,1.65256,3
ROUGE-1,#北京电影学院性侵案#,RANDOM,0.21996,0.38667,0.28041,1.05375,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.50054,0.44074,0.46874,1.35022,3
ROUGE-1,#北京电影学院性侵案#,RANDOM,0.24883,0.34085,0.28766,0.96936,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.39188,0.49864,0.43886,1.43614,3
ROUGE-1,#北京电影学院性侵案#,RANDOM,0.34594,0.35116,0.34853,1.05085,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.20119,0.36863,0.26031,0.99757,3
ROUGE-1,#北京电影学院性侵案#,RANDOM,0.15819,0.216,0.18263,0.61463,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.45464,0.59605,0.51583,1.70793,3
ROUGE-1,#北京电影学院性侵案#,RANDOM,0.19492,0.2193,0.20639,0.64499,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.46049,0.46199,0.46124,1.38522,3
ROUGE-1,#北京电影学院性侵案#,RANDOM,0.15753,0.26871,0.19862,0.73604,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.42442,0.54722,0.47806,1.5725,3
ROUGE-1,#北京电影学院性侵案#,RANDOM,0.18066,0.31522,0.22968,0.86012,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.25991,0.48627,0.33876,1.3113,3
ROUGE-1,#北京电影学院性侵案#,RANDOM,0.25927,0.29199,0.27466,0.85864,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.44593,0.5,0.47142,1.47142,3
ROUGE-1,#北京电影学院性侵案#,RANDOM,0.30623,0.30588,0.30605,0.91781,3
ROUGE-1,#校园网大规模病毒攻击#,RANDOM,0.31203,0.31884,0.3154,0.95308,3
ROUGE-1,#北京电影学院性侵案#,RANDOM,0.3157,0.3482,0.33115,1.02755,3
