ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-1+StopWordRemoval,#北京电影学院性侵案#,TEXTRANKSYSSUM.TXT,0.17165,0.42424,0.24441,3
ROUGE-1+StopWordRemoval,#北京电影学院性侵案#,TFIDFSYSSUM.TXT,0.29366,0.21607,0.24896,3
ROUGE-1+StopWordRemoval,#北京电影学院性侵案#,MOSTRECENTSYSSUM.TXT,0.33525,0.32343,0.32924,3
ROUGE-1+StopWordRemoval,#北京电影学院性侵案#,RANDOMSYSSUM.TXT,0.29580,0.34848,0.31999,3
ROUGE-1+StopWordRemoval,#北京电影学院性侵案#,HYBRID-TFIDFSYSSUM.TXT,0.39425,0.32606,0.35692,3
ROUGE-1+StopWordRemoval,雄安新区,HYBRID-TFIDFSYSSUM.TXT,0.38195,0.27778,0.32164,2
ROUGE-1+StopWordRemoval,雄安新区,MOSTRECENTSYSSUM.TXT,0.07905,0.16818,0.10755,2
ROUGE-1+StopWordRemoval,雄安新区,TEXTRANKSYSSUM.TXT,0.33136,0.26804,0.29636,2
ROUGE-1+StopWordRemoval,雄安新区,TFIDFSYSSUM.TXT,0.34759,0.28276,0.31184,2
ROUGE-1+StopWordRemoval,雄安新区,RANDOMSYSSUM.TXT,0.15584,0.14542,0.15045,2
ROUGE-1+StopWordRemoval,#新疆塔什库尔干5.5级地震#,HYBRID-TFIDFSYSSUM.TXT,0.55048,0.45818,0.50011,4
ROUGE-1+StopWordRemoval,#新疆塔什库尔干5.5级地震#,MOSTRECENTSYSSUM.TXT,0.46946,0.44561,0.45722,4
ROUGE-1+StopWordRemoval,#新疆塔什库尔干5.5级地震#,RANDOMSYSSUM.TXT,0.32465,0.54779,0.40769,4
ROUGE-1+StopWordRemoval,#新疆塔什库尔干5.5级地震#,TEXTRANKSYSSUM.TXT,0.37392,0.59375,0.45886,4
ROUGE-1+StopWordRemoval,#新疆塔什库尔干5.5级地震#,TFIDFSYSSUM.TXT,0.47339,0.39927,0.43318,4
ROUGE-1+StopWordRemoval,#台湾美女作家自杀#,RANDOMSYSSUM.TXT,�,�,0.00000,0
ROUGE-1+StopWordRemoval,#台湾美女作家自杀#,HYBRID-TFIDFSYSSUM.TXT,�,�,0.00000,0
ROUGE-1+StopWordRemoval,#台湾美女作家自杀#,MOSTRECENTSYSSUM.TXT,�,�,0.00000,0
ROUGE-1+StopWordRemoval,#台湾美女作家自杀#,TFIDFSYSSUM.TXT,�,�,0.00000,0
ROUGE-1+StopWordRemoval,#台湾美女作家自杀#,TEXTRANKSYSSUM.TXT,�,�,0.00000,0
ROUGE-1+StopWordRemoval,#摔跤吧爸爸#,MOSTRECENTSYSSUM.TXT,�,�,0.00000,0
ROUGE-1+StopWordRemoval,#摔跤吧爸爸#,TEXTRANKSYSSUM.TXT,�,�,0.00000,0
ROUGE-1+StopWordRemoval,#摔跤吧爸爸#,TFIDFSYSSUM.TXT,�,�,0.00000,0
ROUGE-1+StopWordRemoval,#摔跤吧爸爸#,RANDOMSYSSUM.TXT,�,�,0.00000,0
ROUGE-1+StopWordRemoval,#摔跤吧爸爸#,HYBRID-TFIDFSYSSUM.TXT,�,�,0.00000,0
ROUGE-1+StopWordRemoval,#校园网大规模病毒攻击#,MOSTRECENTSYSSUM.TXT,0.37013,0.51437,0.43049,3
ROUGE-1+StopWordRemoval,#校园网大规模病毒攻击#,TFIDFSYSSUM.TXT,0.43454,0.28980,0.34771,3
ROUGE-1+StopWordRemoval,#校园网大规模病毒攻击#,RANDOMSYSSUM.TXT,0.50887,0.42063,0.46056,3
ROUGE-1+StopWordRemoval,#校园网大规模病毒攻击#,TEXTRANKSYSSUM.TXT,0.34884,0.48116,0.40446,3
ROUGE-1+StopWordRemoval,#校园网大规模病毒攻击#,HYBRID-TFIDFSYSSUM.TXT,0.47284,0.38660,0.42539,3
